dataset,classifier,n_estimators,acc_mean,prec_mean,rec_mean,f1_mean
wine,AdaBoost,1,0.904,0.906,0.906,0.905
wine,AdaBoost,5,0.904,0.905,0.906,0.905
wine,AdaBoost,10,0.906,0.907,0.908,0.907
wine,AdaBoost,15,0.904,0.905,0.906,0.905
wine,AdaBoost,20,0.904,0.906,0.907,0.906
wine,AdaBoost,25,0.905,0.906,0.907,0.906
wine,AdaBoost,50,0.903,0.905,0.906,0.905
wine,AdaBoost,100,0.904,0.905,0.906,0.905
wine,AdaBoost,200,0.904,0.906,0.907,0.906
wine,AdaBoost,300,0.905,0.906,0.907,0.906
wine,AdaBoost,400,0.904,0.906,0.906,0.905
wine,AdaBoost,500,0.907,0.908,0.91,0.908
wine,Bagging,1,0.897,0.899,0.899,0.898
wine,Bagging,5,0.942,0.943,0.945,0.943
wine,Bagging,10,0.952,0.953,0.954,0.953
wine,Bagging,15,0.955,0.955,0.957,0.956
wine,Bagging,20,0.954,0.955,0.957,0.955
wine,Bagging,25,0.957,0.957,0.959,0.958
wine,Bagging,50,0.961,0.961,0.964,0.962
wine,Bagging,100,0.962,0.962,0.965,0.963
wine,Bagging,200,0.962,0.962,0.965,0.963
wine,Bagging,300,0.965,0.965,0.968,0.966
wine,Bagging,400,0.964,0.963,0.966,0.965
wine,Bagging,500,0.965,0.965,0.968,0.966
wine,DecisionTree,1,0.905,0.906,0.908,0.907
wine,DecisionTree,5,0.905,0.906,0.908,0.907
wine,DecisionTree,10,0.905,0.906,0.908,0.907
wine,DecisionTree,15,0.905,0.906,0.908,0.907
wine,DecisionTree,20,0.905,0.906,0.908,0.907
wine,DecisionTree,25,0.905,0.906,0.908,0.907
wine,DecisionTree,50,0.905,0.906,0.908,0.907
wine,DecisionTree,100,0.905,0.906,0.908,0.907
wine,DecisionTree,200,0.905,0.906,0.908,0.907
wine,DecisionTree,300,0.905,0.906,0.908,0.907
wine,DecisionTree,400,0.905,0.906,0.908,0.907
wine,DecisionTree,500,0.905,0.906,0.908,0.907
wine,RandomForest,1,0.886,0.888,0.887,0.887
wine,RandomForest,5,0.951,0.952,0.954,0.952
wine,RandomForest,10,0.971,0.97,0.973,0.971
wine,RandomForest,15,0.973,0.972,0.976,0.974
wine,RandomForest,20,0.975,0.974,0.977,0.975
wine,RandomForest,25,0.977,0.975,0.979,0.977
wine,RandomForest,50,0.98,0.978,0.982,0.98
wine,RandomForest,100,0.98,0.978,0.982,0.98
wine,RandomForest,200,0.98,0.978,0.983,0.98
wine,RandomForest,300,0.98,0.978,0.983,0.98
wine,RandomForest,400,0.981,0.979,0.984,0.981
wine,RandomForest,500,0.981,0.98,0.984,0.982
